category,pck@0.05,pck@0.10,pck@0.20
chair,55.55555555555556,77.77777777777779,100.0
chair,33.33333333333333,50.0,66.66666666666666
chair,33.33333333333333,33.33333333333333,44.44444444444444
chair,80.0,90.0,90.0
chair,12.5,25.0,50.0
chair,100.0,100.0,100.0
chair,33.33333333333333,44.44444444444444,77.77777777777779
cow,56.25,75.0,87.5
cow,81.25,100.0,100.0
cow,68.75,87.5,100.0
diningtable,0.0,0.0,0.0
diningtable,0.0,0.0,25.0
diningtable,25.0,50.0,75.0
diningtable,33.33333333333333,33.33333333333333,33.33333333333333
diningtable,0.0,12.5,37.5
diningtable,25.0,25.0,100.0
diningtable,25.0,25.0,25.0
diningtable,0.0,16.666666666666664,16.666666666666664
dog,83.33333333333334,83.33333333333334,100.0
dog,83.33333333333334,100.0,100.0
dog,83.33333333333334,100.0,100.0
dog,71.42857142857143,100.0,100.0
dog,80.0,80.0,100.0
dog,80.0,100.0,100.0
dog,66.66666666666666,83.33333333333334,100.0
dog,50.0,66.66666666666666,100.0
dog,80.0,100.0,100.0
dog,66.66666666666666,66.66666666666666,100.0
dog,50.0,62.5,100.0
dog,30.0,80.0,100.0
dog,66.66666666666666,66.66666666666666,83.33333333333334
dog,83.33333333333334,100.0,100.0
dog,42.857142857142854,57.14285714285714,85.71428571428571
dog,60.0,80.0,100.0
dog,66.66666666666666,83.33333333333334,83.33333333333334
dog,71.42857142857143,85.71428571428571,85.71428571428571
dog,66.66666666666666,100.0,100.0
dog,40.0,70.0,100.0
dog,83.33333333333334,100.0,100.0
dog,66.66666666666666,83.33333333333334,100.0
dog,66.66666666666666,100.0,100.0
dog,83.33333333333334,100.0,100.0
horse,85.71428571428571,100.0,100.0
horse,71.42857142857143,85.71428571428571,100.0
horse,33.33333333333333,50.0,83.33333333333334
horse,64.28571428571429,71.42857142857143,92.85714285714286
horse,57.14285714285714,71.42857142857143,100.0
horse,40.0,60.0,60.0
horse,66.66666666666666,66.66666666666666,100.0
horse,66.66666666666666,100.0,100.0
horse,58.333333333333336,66.66666666666666,83.33333333333334
motorbike,22.22222222222222,55.55555555555556,88.88888888888889
motorbike,77.77777777777779,88.88888888888889,88.88888888888889
motorbike,60.0,70.0,100.0
motorbike,80.0,90.0,100.0
motorbike,60.0,90.0,90.0
motorbike,37.5,100.0,100.0
motorbike,33.33333333333333,77.77777777777779,100.0
motorbike,22.22222222222222,77.77777777777779,100.0
motorbike,50.0,80.0,100.0
motorbike,50.0,90.0,90.0
motorbike,62.5,75.0,100.0
motorbike,33.33333333333333,66.66666666666666,88.88888888888889
motorbike,60.0,80.0,100.0
motorbike,40.0,60.0,90.0
motorbike,80.0,90.0,90.0
motorbike,50.0,80.0,90.0
